medium location target_lum D1 D2 D3 D4 E1 E2 E3 E4 F1 F2 F3 F4 G1 G2 G3 G4 f2_refl f3_refl e3_refl start_int start_lum n_changes match_int match_lum
plain f2 0.065 0.70196078 0.05490196 0.01960784 0.16862745 0.01960784 0.16078431 0.03137255 0.03137255 0.57254902 0.01960784 0.47843137 0.05882353 0.01960784 0.01960784 0.62745098 0.65490196 0.065 1.369 0.092 0.755843055 377.452527835 22 0.025843055 12.9054919357
plain f3 1.369 0.70196078 0.05490196 0.01960784 0.16862745 0.01960784 0.16078431 0.03137255 0.03137255 0.57254902 0.01960784 0.47843137 0.05882353 0.01960784 0.01960784 0.62745098 0.65490196 0.065 1.369 0.092 0.7233247498 361.213552759 2 0.6233247498 311.275602636
plain e3 0.092 0.70196078 0.05490196 0.01960784 0.16862745 0.01960784 0.16078431 0.03137255 0.03137255 0.57254902 0.01960784 0.47843137 0.05882353 0.01960784 0.01960784 0.62745098 0.65490196 0.065 1.369 0.092 0.0987211852 49.2993362232 1 0.0487211852 24.3303611616
plain f2 0.065 0.70196078 0.05490196 0.01960784 0.16862745 0.01960784 0.16078431 0.03137255 0.03137255 0.57254902 0.01960784 0.47843137 0.05882353 0.01960784 0.01960784 0.62745098 0.65490196 0.065 1.369 0.092 0.5123532463 255.858708572 16 0.0223532463 11.1627529687
plain f3 1.369 0.70196078 0.05490196 0.01960784 0.16862745 0.01960784 0.16078431 0.03137255 0.03137255 0.57254902 0.01960784 0.47843137 0.05882353 0.01960784 0.01960784 0.62745098 0.65490196 0.065 1.369 0.092 0.7846061869 391.816246275 3 0.6346061869 316.90932109
plain e3 0.49 0.15294118 0.33333333 0.74901961 0.01960784 0.09411765 0.58431373 0.16862745 0.25882353 0.57254902 0.01960784 0.61960784 0.49803922 0.01960784 0.16470588 0.62745098 0.03137255 0.065 1.768 0.49 0.9006623584 449.77231934 15 0.1506623584 75.2376934162
plain f2 0.065 0.15294118 0.33333333 0.74901961 0.01960784 0.09411765 0.58431373 0.16862745 0.25882353 0.57254902 0.01960784 0.61960784 0.49803922 0.01960784 0.16470588 0.62745098 0.03137255 0.065 1.768 0.49 0.5712199298 285.255523616 11 0.0212199298 10.5967979392
plain f3 1.768 0.15294118 0.33333333 0.74901961 0.01960784 0.09411765 0.58431373 0.16862745 0.25882353 0.57254902 0.01960784 0.61960784 0.49803922 0.01960784 0.16470588 0.62745098 0.03137255 0.065 1.768 0.49 0.7166812064 357.895903401 1 0.7666812064 382.864878463
plain e3 0.49 0.15294118 0.33333333 0.74901961 0.01960784 0.09411765 0.58431373 0.16862745 0.25882353 0.57254902 0.01960784 0.61960784 0.49803922 0.01960784 0.16470588 0.62745098 0.03137255 0.065 1.768 0.49 0.2865926584 143.118498788 2 0.1865926584 93.1805486649
plain f2 0.065 0.15294118 0.33333333 0.74901961 0.01960784 0.09411765 0.58431373 0.16862745 0.25882353 0.57254902 0.01960784 0.61960784 0.49803922 0.01960784 0.16470588 0.62745098 0.03137255 0.065 1.768 0.49 0.2289371295 114.326509539 10 0.0189371295 9.4568142808
plain f3 1.768 0.15294118 0.33333333 0.74901961 0.01960784 0.09411765 0.58431373 0.16862745 0.25882353 0.57254902 0.01960784 0.61960784 0.49803922 0.01960784 0.16470588 0.62745098 0.03137255 0.065 1.768 0.49 0.9037121102 451.295302835 1 0.8537121102 426.326327773
plain e3 1.768 0.70196078 0.15686275 0.05490196 0.05882353 0.43921569 0.09803922 0.60784314 0.79607843 0.01960784 0.02745098 0.25490196 0.10980392 0.02745098 0.05490196 0.01960784 0.27058824 0.092 0.73 1.768 0.0405309795 20.2403403496 11 0.5905309795 294.899066027
plain f2 0.092 0.70196078 0.15686275 0.05490196 0.05882353 0.43921569 0.09803922 0.60784314 0.79607843 0.01960784 0.02745098 0.25490196 0.10980392 0.02745098 0.05490196 0.01960784 0.27058824 0.092 0.73 1.768 0.0367597902 18.3570856856 8 0.0467597902 23.3508806979
plain f3 0.73 0.70196078 0.15686275 0.05490196 0.05882353 0.43921569 0.09803922 0.60784314 0.79607843 0.01960784 0.02745098 0.25490196 0.10980392 0.02745098 0.05490196 0.01960784 0.27058824 0.092 0.73 1.768 0.6644857556 331.830565199 9 0.3144857556 157.047739768
plain e3 1.768 0.70196078 0.15686275 0.05490196 0.05882353 0.43921569 0.09803922 0.60784314 0.79607843 0.01960784 0.02745098 0.25490196 0.10980392 0.02745098 0.05490196 0.01960784 0.27058824 0.092 0.73 1.768 0.6173128682 308.273392239 0 0.6173128682 308.273392239
plain f2 0.092 0.70196078 0.15686275 0.05490196 0.05882353 0.43921569 0.09803922 0.60784314 0.79607843 0.01960784 0.02745098 0.25490196 0.10980392 0.02745098 0.05490196 0.01960784 0.27058824 0.092 0.73 1.768 0.4688223715 234.120282037 8 0.0688223715 34.3684815444
plain f3 0.73 0.70196078 0.15686275 0.05490196 0.05882353 0.43921569 0.09803922 0.60784314 0.79607843 0.01960784 0.02745098 0.25490196 0.10980392 0.02745098 0.05490196 0.01960784 0.27058824 0.092 0.73 1.768 0.3695458403 184.543617397 4 0.3695458403 184.543617397
plain e3 0.49 0.01960784 0.02745098 0.34509804 0.03137255 0.05490196 0.58431373 0.16862745 0.49019608 0.15686275 0.02745098 0.47843137 0.02352941 0.16078431 0.46666667 0.03137255 0.50588235 0.092 1.369 0.49 0.884192776 441.54774746 13 0.234192776 116.95107166
plain f2 0.092 0.01960784 0.02745098 0.34509804 0.03137255 0.05490196 0.58431373 0.16862745 0.49019608 0.15686275 0.02745098 0.47843137 0.02352941 0.16078431 0.46666667 0.03137255 0.50588235 0.092 1.369 0.49 0.0844190381 42.1571371421 3 0.05 24.9689750616
plain f3 1.369 0.01960784 0.02745098 0.34509804 0.03137255 0.05490196 0.58431373 0.16862745 0.49019608 0.15686275 0.02745098 0.47843137 0.02352941 0.16078431 0.46666667 0.03137255 0.50588235 0.092 1.369 0.49 0.1107791307 55.3208270512 9 0.5607791307 280.041602605
plain e3 0.49 0.01960784 0.02745098 0.34509804 0.03137255 0.05490196 0.58431373 0.16862745 0.49019608 0.15686275 0.02745098 0.47843137 0.02352941 0.16078431 0.46666667 0.03137255 0.50588235 0.092 1.369 0.49 0.7081154801 353.618355255 11 0.2581154801 128.897579701
plain f2 0.092 0.01960784 0.02745098 0.34509804 0.03137255 0.05490196 0.58431373 0.16862745 0.49019608 0.15686275 0.02745098 0.47843137 0.02352941 0.16078431 0.46666667 0.03137255 0.50588235 0.092 1.369 0.49 0.1999181456 99.8350238458 5 0.0399181456 19.9343036488
plain f3 1.369 0.01960784 0.02745098 0.34509804 0.03137255 0.05490196 0.58431373 0.16862745 0.49019608 0.15686275 0.02745098 0.47843137 0.02352941 0.16078431 0.46666667 0.03137255 0.50588235 0.092 1.369 0.49 0.9378219739 468.329069546 6 0.6378219739 318.515219177
plain e3 0.73 0.43137255 0.09803922 0.74901961 0.25490196 0.56470588 0.7372549 0.25098039 0.03137255 0.09803922 0.05490196 0.03137255 0.17647059 0.23921569 0.10196078 0.05882353 0.0627451 0.171 0.092 0.73 0.5322572418 265.798355936 7 0.2822572418 140.953480628
plain f2 0.171 0.43137255 0.09803922 0.74901961 0.25490196 0.56470588 0.7372549 0.25098039 0.03137255 0.09803922 0.05490196 0.03137255 0.17647059 0.23921569 0.10196078 0.05882353 0.0627451 0.171 0.092 0.73 0.4295305823 214.498767962 7 0.0795305823 39.7159425311
plain f3 0.092 0.43137255 0.09803922 0.74901961 0.25490196 0.56470588 0.7372549 0.25098039 0.03137255 0.09803922 0.05490196 0.03137255 0.17647059 0.23921569 0.10196078 0.05882353 0.0627451 0.171 0.092 0.73 0.0719015573 35.9061638072 7 0.0469015573 23.4216762764
plain e3 0.73 0.43137255 0.09803922 0.74901961 0.25490196 0.56470588 0.7372549 0.25098039 0.03137255 0.09803922 0.05490196 0.03137255 0.17647059 0.23921569 0.10196078 0.05882353 0.0627451 0.171 0.092 0.73 0.3122732976 155.942883617 5 0.2622732976 130.973908556
plain f2 0.171 0.43137255 0.09803922 0.74901961 0.25490196 0.56470588 0.7372549 0.25098039 0.03137255 0.09803922 0.05490196 0.03137255 0.17647059 0.23921569 0.10196078 0.05882353 0.0627451 0.171 0.092 0.73 0.653377466 326.283313079 11 0.103377466 51.6245874021
plain f3 0.092 0.43137255 0.09803922 0.74901961 0.25490196 0.56470588 0.7372549 0.25098039 0.03137255 0.09803922 0.05490196 0.03137255 0.17647059 0.23921569 0.10196078 0.05882353 0.0627451 0.171 0.092 0.73 0.6088324747 304.038457528 11 0.0588324747 29.3797318507
plain e3 1.768 0.01960784 0.33333333 0.01960784 0.10588235 0.56470588 0.02745098 0.60784314 0.10588235 0.23529412 0.05490196 0.47843137 0.37254902 0.44705882 0.46666667 0.01960784 0.10980392 0.171 1.369 1.768 0.834564674 416.764490651 1 0.784564674 391.79551559
plain f2 0.171 0.01960784 0.33333333 0.01960784 0.10588235 0.56470588 0.02745098 0.60784314 0.10588235 0.23529412 0.05490196 0.47843137 0.37254902 0.44705882 0.46666667 0.01960784 0.10980392 0.171 1.369 1.768 0.4499853564 224.713462832 9 0.0899853564 44.9368423887
plain f3 1.369 0.01960784 0.33333333 0.01960784 0.10588235 0.56470588 0.02745098 0.60784314 0.10588235 0.23529412 0.05490196 0.47843137 0.37254902 0.44705882 0.46666667 0.01960784 0.10980392 0.171 1.369 1.768 0.6925475374 345.844043801 1 0.6425475374 320.875068739
plain e3 1.768 0.01960784 0.33333333 0.01960784 0.10588235 0.56470588 0.02745098 0.60784314 0.10588235 0.23529412 0.05490196 0.47843137 0.37254902 0.44705882 0.46666667 0.01960784 0.10980392 0.171 1.369 1.768 0.8731164361 436.016450396 3 0.8231164361 411.047475335
plain f2 0.171 0.01960784 0.33333333 0.01960784 0.10588235 0.56470588 0.02745098 0.60784314 0.10588235 0.23529412 0.05490196 0.47843137 0.37254902 0.44705882 0.46666667 0.01960784 0.10980392 0.171 1.369 1.768 0.3442460536 171.909422525 8 0.0792460536 39.5738546987
plain f3 1.369 0.01960784 0.33333333 0.01960784 0.10588235 0.56470588 0.02745098 0.60784314 0.10588235 0.23529412 0.05490196 0.47843137 0.37254902 0.44705882 0.46666667 0.01960784 0.10980392 0.171 1.369 1.768 0.3850784075 192.300263059 6 0.5850784075 292.176163305
plain e3 2.22 0.32156863 0.15686275 0.4627451 0.61960784 0.3254902 0.01960784 0.76470588 0.10588235 0.09803922 0.10196078 0.05882353 0.02352941 0.44705882 0.16470588 0.03137255 0.27058824 0.305 0.171 2.22 0.5334983331 266.418131506 7 0.8834983331 441.200956937
plain f2 0.305 0.32156863 0.15686275 0.4627451 0.61960784 0.3254902 0.01960784 0.76470588 0.10588235 0.09803922 0.10196078 0.05882353 0.02352941 0.44705882 0.16470588 0.03137255 0.27058824 0.305 0.171 2.22 0.2979971655 148.81367586 5 0.1479971655 73.9067506749
plain f3 0.171 0.32156863 0.15686275 0.4627451 0.61960784 0.3254902 0.01960784 0.76470588 0.10588235 0.09803922 0.10196078 0.05882353 0.02352941 0.44705882 0.16470588 0.03137255 0.27058824 0.305 0.171 2.22 0.1456416935 72.7304762685 6 0.0806416935 40.2708086884
plain e3 2.22 0.32156863 0.15686275 0.4627451 0.61960784 0.3254902 0.01960784 0.76470588 0.10588235 0.09803922 0.10196078 0.05882353 0.02352941 0.44705882 0.16470588 0.03137255 0.27058824 0.305 0.171 2.22 0.4059873605 202.741765613 13 0.8559873605 427.462541167
plain f2 0.305 0.32156863 0.15686275 0.4627451 0.61960784 0.3254902 0.01960784 0.76470588 0.10588235 0.09803922 0.10196078 0.05882353 0.02352941 0.44705882 0.16470588 0.03137255 0.27058824 0.305 0.171 2.22 0.5095508581 254.45925337 9 0.1595508581 79.6764279395
plain f3 0.171 0.32156863 0.15686275 0.4627451 0.61960784 0.3254902 0.01960784 0.76470588 0.10588235 0.09803922 0.10196078 0.05882353 0.02352941 0.44705882 0.16470588 0.03137255 0.27058824 0.305 0.171 2.22 0.0185356174 9.2563073787 9 0.1 49.9379501231
plain e3 1.369 0.32156863 0.01960784 0.05490196 0.01960784 0.15686275 0.45490196 0.47058824 0.10588235 0.15686275 0.10196078 0.16862745 0.10980392 0.33333333 0.46666667 0.01960784 0.65490196 0.305 0.49 1.369 0.9672300238 483.014846841 9 0.5172300238 258.294071286
plain f2 0.305 0.32156863 0.01960784 0.05490196 0.01960784 0.15686275 0.45490196 0.47058824 0.10588235 0.15686275 0.10196078 0.16862745 0.10980392 0.33333333 0.46666667 0.01960784 0.65490196 0.305 0.49 1.369 0.7687332719 383.889637923 13 0.1187332719 59.2929621226
plain f3 0.49 0.32156863 0.01960784 0.05490196 0.01960784 0.15686275 0.45490196 0.47058824 0.10588235 0.15686275 0.10196078 0.16862745 0.10980392 0.33333333 0.46666667 0.01960784 0.65490196 0.305 0.49 1.369 0.5139796399 256.670896234 13 0.1889796399 94.3725583334
plain e3 1.369 0.32156863 0.01960784 0.05490196 0.01960784 0.15686275 0.45490196 0.47058824 0.10588235 0.15686275 0.10196078 0.16862745 0.10980392 0.33333333 0.46666667 0.01960784 0.65490196 0.305 0.49 1.369 0.8955068855 447.197781824 7 0.5455068855 272.414956393
plain f2 0.305 0.32156863 0.01960784 0.05490196 0.01960784 0.15686275 0.45490196 0.47058824 0.10588235 0.15686275 0.10196078 0.16862745 0.10980392 0.33333333 0.46666667 0.01960784 0.65490196 0.305 0.49 1.369 0.4339748063 216.718122341 6 0.1339748063 66.9042719715
plain f3 0.49 0.32156863 0.01960784 0.05490196 0.01960784 0.15686275 0.45490196 0.47058824 0.10588235 0.15686275 0.10196078 0.16862745 0.10980392 0.33333333 0.46666667 0.01960784 0.65490196 0.305 0.49 1.369 0.4206407922 210.059389029 3 0.2706407922 135.152463844
plain e3 1.023 0.55686275 0.33333333 0.24705882 0.16862745 0.70980392 0.05490196 0.35294118 0.63137255 0.57254902 0.16470588 0.10588235 0.02352941 0.01960784 0.10196078 0.10588235 0.0627451 0.49 0.305 1.023 0.066058174 32.9880979826 9 0.35 174.782825431
plain f2 0.49 0.55686275 0.33333333 0.24705882 0.16862745 0.70980392 0.05490196 0.35294118 0.63137255 0.57254902 0.16470588 0.10588235 0.02352941 0.01960784 0.10196078 0.10588235 0.0627451 0.49 0.305 1.023 0.8512257248 425.084677875 20 0.2362257248 117.966284618
plain f3 0.305 0.55686275 0.33333333 0.24705882 0.16862745 0.70980392 0.05490196 0.35294118 0.63137255 0.57254902 0.16470588 0.10588235 0.02352941 0.01960784 0.10196078 0.10588235 0.0627451 0.49 0.305 1.023 0.7688217657 383.93382989 12 0.1688217657 84.3061291508
plain e3 1.023 0.55686275 0.33333333 0.24705882 0.16862745 0.70980392 0.05490196 0.35294118 0.63137255 0.57254902 0.16470588 0.10588235 0.02352941 0.01960784 0.10196078 0.10588235 0.0627451 0.49 0.305 1.023 0.8984777434 448.681367386 9 0.4484777434 223.960591832
plain f2 0.49 0.55686275 0.33333333 0.24705882 0.16862745 0.70980392 0.05490196 0.35294118 0.63137255 0.57254902 0.16470588 0.10588235 0.02352941 0.01960784 0.10196078 0.10588235 0.0627451 0.49 0.305 1.023 0.6795862059 339.371420541 11 0.2295862059 114.650644987
plain f3 0.305 0.55686275 0.33333333 0.24705882 0.16862745 0.70980392 0.05490196 0.35294118 0.63137255 0.57254902 0.16470588 0.10588235 0.02352941 0.01960784 0.10196078 0.10588235 0.0627451 0.49 0.305 1.023 0.9051231796 451.999961968 14 0.2051231796 102.434311106
plain e3 1.768 0.01960784 0.02745098 0.02745098 0.78039216 0.70980392 0.09803922 0.60784314 0.25882353 0.23529412 0.16470588 0.35686275 0.37254902 0.72941176 0.01960784 0.78431373 0.03137255 0.49 1.023 1.768 0.5906775429 294.97225677 3 0.7406775429 369.879181954
plain f2 0.49 0.01960784 0.02745098 0.02745098 0.78039216 0.70980392 0.09803922 0.60784314 0.25882353 0.23529412 0.16470588 0.35686275 0.37254902 0.72941176 0.01960784 0.78431373 0.03137255 0.49 1.023 1.768 0.8791300283 439.019515063 13 0.2291300283 114.422839263
plain f3 1.023 0.01960784 0.02745098 0.02745098 0.78039216 0.70980392 0.09803922 0.60784314 0.25882353 0.23529412 0.16470588 0.35686275 0.37254902 0.72941176 0.01960784 0.78431373 0.03137255 0.49 1.023 1.768 0.2300076527 114.861106875 4 0.4300076527 214.737007121
plain e3 1.768 0.01960784 0.02745098 0.02745098 0.78039216 0.70980392 0.09803922 0.60784314 0.25882353 0.23529412 0.16470588 0.35686275 0.37254902 0.72941176 0.01960784 0.78431373 0.03137255 0.49 1.023 1.768 0.3862653746 192.893010086 9 0.7362653746 367.675835517
plain f2 0.49 0.01960784 0.02745098 0.02745098 0.78039216 0.70980392 0.09803922 0.60784314 0.25882353 0.23529412 0.16470588 0.35686275 0.37254902 0.72941176 0.01960784 0.78431373 0.03137255 0.49 1.023 1.768 0.6704786563 334.823296991 9 0.2204786563 110.102521437
plain f3 1.023 0.01960784 0.02745098 0.02745098 0.78039216 0.70980392 0.09803922 0.60784314 0.25882353 0.23529412 0.16470588 0.35686275 0.37254902 0.72941176 0.01960784 0.78431373 0.03137255 0.49 1.023 1.768 0.7328130885 365.95183463 7 0.4828130885 241.106959323
plain e3 2.22 0.55686275 0.57647059 0.34509804 0.35686275 0.05490196 0.05490196 0.76470588 0.01960784 0.02745098 0.24313725 0.61960784 0.02352941 0.09803922 0.01960784 0.10588235 0.27058824 0.73 1.768 2.22 0.5357909522 267.563018465 8 0.9357909522 467.314818958
plain f2 0.73 0.55686275 0.57647059 0.34509804 0.35686275 0.05490196 0.05490196 0.76470588 0.01960784 0.02745098 0.24313725 0.61960784 0.02352941 0.09803922 0.01960784 0.10588235 0.27058824 0.73 1.768 2.22 0.4096254677 204.558561748 1 0.3596254677 179.589586686
plain f3 1.768 0.55686275 0.57647059 0.34509804 0.35686275 0.05490196 0.05490196 0.76470588 0.01960784 0.02745098 0.24313725 0.61960784 0.02352941 0.09803922 0.01960784 0.10588235 0.27058824 0.73 1.768 2.22 0.9998615571 499.310365708 8 0.7 349.565650862
plain e3 2.22 0.55686275 0.57647059 0.34509804 0.35686275 0.05490196 0.05490196 0.76470588 0.01960784 0.02745098 0.24313725 0.61960784 0.02352941 0.09803922 0.01960784 0.10588235 0.27058824 0.73 1.768 2.22 0.8569099185 427.923247718 0 0.8569099185 427.923247718
plain f2 0.73 0.55686275 0.57647059 0.34509804 0.35686275 0.05490196 0.05490196 0.76470588 0.01960784 0.02745098 0.24313725 0.61960784 0.02352941 0.09803922 0.01960784 0.10588235 0.27058824 0.73 1.768 2.22 0.8895048317 444.200479174 10 0.3895048317 194.510728558
plain f3 1.768 0.55686275 0.57647059 0.34509804 0.35686275 0.05490196 0.05490196 0.76470588 0.01960784 0.02745098 0.24313725 0.61960784 0.02352941 0.09803922 0.01960784 0.10588235 0.27058824 0.73 1.768 2.22 0.4448237163 222.13584556 7 0.6948237163 346.980720868
plain e3 0.092 0.55686275 0.02745098 0.59607843 0.35686275 0.70980392 0.3372549 0.03137255 0.25882353 0.02745098 0.24313725 0.77647059 0.80784314 0.16078431 0.03137255 0.03137255 0.50588235 0.73 2.22 0.092 0.4189478107 209.213948731 8 0.0189478107 9.4621482387
plain f2 0.73 0.55686275 0.02745098 0.59607843 0.35686275 0.70980392 0.3372549 0.03137255 0.25882353 0.02745098 0.24313725 0.77647059 0.80784314 0.16078431 0.03137255 0.03137255 0.50588235 0.73 2.22 0.092 0.332448723 166.018077496 6 0.232448723 116.080127373
plain f3 2.22 0.55686275 0.02745098 0.59607843 0.35686275 0.70980392 0.3372549 0.03137255 0.25882353 0.02745098 0.24313725 0.77647059 0.80784314 0.16078431 0.03137255 0.03137255 0.50588235 0.73 2.22 0.092 0.584541983 291.908283899 8 0.884541983 441.722134269
plain e3 0.092 0.55686275 0.02745098 0.59607843 0.35686275 0.70980392 0.3372549 0.03137255 0.25882353 0.02745098 0.24313725 0.77647059 0.80784314 0.16078431 0.03137255 0.03137255 0.50588235 0.73 2.22 0.092 0.4023358982 200.918300176 12 0.0223358982 11.1540897081
plain f2 0.73 0.55686275 0.02745098 0.59607843 0.35686275 0.70980392 0.3372549 0.03137255 0.25882353 0.02745098 0.24313725 0.77647059 0.80784314 0.16078431 0.03137255 0.03137255 0.50588235 0.73 2.22 0.092 0.1399919816 69.9091259246 5 0.2899919816 144.816051109
plain f3 2.22 0.55686275 0.02745098 0.59607843 0.35686275 0.70980392 0.3372549 0.03137255 0.25882353 0.02745098 0.24313725 0.77647059 0.80784314 0.16078431 0.03137255 0.03137255 0.50588235 0.73 2.22 0.092 0.0864130337 43.1528976543 12 0.6864130337 342.780598393
plain e3 0.49 0.43137255 0.33333333 0.01960784 0.61960784 0.15686275 0.3372549 0.16862745 0.01960784 0.71764706 0.34509804 0.01960784 0.02352941 0.09803922 0.34901961 0.17254902 0.65490196 1.023 0.065 0.49 0.207967079 103.854496176 6 0.207967079 103.854496176
plain f2 1.023 0.43137255 0.33333333 0.01960784 0.61960784 0.15686275 0.3372549 0.16862745 0.01960784 0.71764706 0.34509804 0.01960784 0.02352941 0.09803922 0.34901961 0.17254902 0.65490196 1.023 0.065 0.49 0.7170880606 358.099078061 11 0.3670880606 183.31625263
plain f3 0.065 0.43137255 0.33333333 0.01960784 0.61960784 0.15686275 0.3372549 0.16862745 0.01960784 0.71764706 0.34509804 0.01960784 0.02352941 0.09803922 0.34901961 0.17254902 0.65490196 1.023 0.065 0.49 0.389209219 194.363105641 11 0.019209219 9.5926901851
plain e3 0.49 0.43137255 0.33333333 0.01960784 0.61960784 0.15686275 0.3372549 0.16862745 0.01960784 0.71764706 0.34509804 0.01960784 0.02352941 0.09803922 0.34901961 0.17254902 0.65490196 1.023 0.065 0.49 0.9032933016 451.086158406 13 0.2532933016 126.489482605
plain f2 1.023 0.43137255 0.33333333 0.01960784 0.61960784 0.15686275 0.3372549 0.16862745 0.01960784 0.71764706 0.34509804 0.01960784 0.02352941 0.09803922 0.34901961 0.17254902 0.65490196 1.023 0.065 0.49 0.6725129691 335.839191097 5 0.4225129691 210.994315789
plain f3 0.065 0.43137255 0.33333333 0.01960784 0.61960784 0.15686275 0.3372549 0.16862745 0.01960784 0.71764706 0.34509804 0.01960784 0.02352941 0.09803922 0.34901961 0.17254902 0.65490196 1.023 0.065 0.49 0.2188411207 109.284769711 11 0.02 9.9875900246
plain e3 1.369 0.32156863 0.09803922 0.16470588 0.03137255 0.70980392 0.02745098 0.47058824 0.05882353 0.09803922 0.34509804 0.05882353 0.64313725 0.33333333 0.05490196 0.01960784 0.03137255 1.023 0.171 1.369 0.4187583464 209.11933417 3 0.5687583464 284.026259355
plain f2 1.023 0.32156863 0.09803922 0.16470588 0.03137255 0.70980392 0.02745098 0.47058824 0.05882353 0.09803922 0.34509804 0.05882353 0.64313725 0.33333333 0.05490196 0.01960784 0.03137255 1.023 0.171 1.369 0.5922101327 295.737600703 3 0.4422101327 220.830675518
plain f3 0.171 0.32156863 0.09803922 0.16470588 0.03137255 0.70980392 0.02745098 0.47058824 0.05882353 0.09803922 0.34509804 0.05882353 0.64313725 0.33333333 0.05490196 0.01960784 0.03137255 1.023 0.171 1.369 0.3288168919 164.204415486 8 0.0938168919 46.8502326961
plain e3 1.369 0.32156863 0.09803922 0.16470588 0.03137255 0.70980392 0.02745098 0.47058824 0.05882353 0.09803922 0.34509804 0.05882353 0.64313725 0.33333333 0.05490196 0.01960784 0.03137255 1.023 0.171 1.369 0.0392060083 19.5786768697 11 0.5 249.689750616
plain f2 1.023 0.32156863 0.09803922 0.16470588 0.03137255 0.70980392 0.02745098 0.47058824 0.05882353 0.09803922 0.34509804 0.05882353 0.64313725 0.33333333 0.05490196 0.01960784 0.03137255 1.023 0.171 1.369 0.5588966536 279.101532128 5 0.4088966536 204.194606944
